"","sub","v_80_RT_part_1","v_80_RT_part_2","v_80_RT_part_3","v_20_RT_part_1","v_20_RT_part_2","v_20_RT_part_3","s_80_RT_part_1","s_80_RT_part_2","s_80_RT_part_3","s_20_RT_part_1","s_20_RT_part_2","s_20_RT_part_3"
"1","1",88.9792658730159,94.8120634920635,83.1866666666666,-7.03649193548387,-24.4355913978495,-48.588494623656,86.4120634920635,96.1995391705069,64.0341269841269,0.367137096774172,7.03136612021859,-28.3062500000001
"2","2",75.065120967742,47.5960655737705,23.3531182795699,-0.910107526881688,-48.778801843318,-103.581666666667,81.0819047619048,57.8444444444444,48.6650793650794,8.29334677419354,7.22499999999997,-14.55
"3","4",79.3079365079365,101.985359801489,120.703225806452,42.876507936508,41.8316666666667,44.0725806451613,69.1862365591398,88.8140552995392,89.737311827957,19.4328125,3.29639344262296,-24.5044354838709
"4","5",62.9298412698413,39.3679569892474,-36.888064516129,-10.6725806451612,-35.2721505376345,-109.433225806452,70.0043010752688,69.0233021077283,61.3836559139785,42.0909274193548,21.7644086021505,-115.641532258065
"5","7",47.2487096774194,58.2725806451613,13.8744086021505,4.54375000000005,-9.79176587301589,-76.0830357142858,58.600634920635,56.9327956989247,19.4203174603174,-7.83859126984123,-47.4731182795699,-58.0423387096774
"6","9",43.3514112903226,41.8566666666667,14.7417338709678,14.6597849462366,13.461943793911,0.562672811059883,68.7753456221198,78.8427490542245,105.545905707196,5.31374999999997,8.49190573770494,-11.485063559322
"7","10",72.10625,35.9692473118279,-18.7824596774194,2.66068548387096,-20.4908196721312,-50.1855532786884,71.190120967742,71.9894623655914,17.08,17.9830942622951,-3.95114754098358,-46.8495081967212
"8","11",44.1625396825397,29.5972350230414,31.9668817204301,-45.5704301075269,-51.1827322404372,-131.917849462366,41.9155241935484,43.8888172043011,136.131612903226,-6.77079918032786,-43.8666666666667,-167.436393442623
"9","12",114.299648711944,145.59717948718,222.432857142857,13.8860745614035,-3.65904761904767,17.3838095238095,126.090793650794,207.588279569893,247.822795698925,-14.191369047619,-46.0578494623655,-76.6863440860216
"10","13",91.9939516129032,220.455376344086,298.15625,46.9848790322581,0.706236559139711,51.0897177419355,79.2803174603175,125.954920634921,168.212698412698,40.2056451612903,43.6855913978494,147.614314516129
"11","14",41.3819047619048,40.8979262672811,1.97505376344088,3.66895161290324,-10.0230601092896,-26.8002150537634,35.7939682539682,47.7627956989247,80.4015873015873,-8.75604838709677,-7.6383606557377,-62.1551912568306
"12","15",76.3539682539682,78.7119815668203,76.1204301075269,34.0510245901639,17.65125,-11.0741803278688,54.549503968254,42.6952380952381,-4.09079365079367,36.2590725806451,3.10295081967212,-70.4966120218579
"13","16",92.6518026565465,82.2148711943794,150.475698924731,41.3533333333334,-0.642795698924715,-109.260430107527,66.4238095238096,86.5689247311828,123.891182795699,14.3258064516129,8.87376344086027,-57.9947580645162
"14","17",33.5368055555556,12.7095238095238,-63.9260317460318,-34.7817204301076,-106.545199063232,-237.74262295082,23.1530241935484,53.8526775956284,5.85892473118281,-29.5220140515222,-47.1359523809523,-80.4127634660422
"15","18",44.040625,52.4625992063492,60.86875,14.8793650793651,13.2967741935484,-9.42787698412701,51.5984375,58.8910714285714,66.3015625,36.0690476190476,27.3931451612903,-0.728769841269809
"16","19",78.0012362637362,77.6289393939394,167.127832167832,34.2555681818182,-67.3492592592593,-456.088148148148,68.9783333333334,84.7913713405239,90.5633333333333,51.537619047619,22.7484848484848,-49.6122619047619
"17","20",24.1241530054644,22.0400000000001,-36.7911475409836,-14.8698360655737,-33.1483333333333,-124.320327868852,32.1175403225807,14.840752688172,-15.935685483871,13.2784722222222,-1.43784946236559,-10.3415873015873
"18","21",57.8193208430913,63.609079445145,59.4492974238876,17.1816666666667,-29.0709523809523,-95.6254761904762,72.7446994535519,106.88,141.119672131148,5.95999999999998,-29.3877966101695,-97.4962711864407
"19","22",69.8862903225806,47.4392349726776,-17.9550819672131,20.499487704918,-12.6213114754098,-27.05197740113,107.488498789346,132.80482398957,405.14406779661,-19.1961538461538,-63.5814814814815,-265.072364672365
"20","23",68.5983870967742,40.6887431693989,93.1792338709678,40.0766393442623,50.9866666666666,-19.5041666666667,55.3147177419355,22.6010752688172,11.102688172043,-5.25225409836065,-11.3683333333333,20.3722336065573
"21","24",123.039955357143,137.1442002442,228.696825396825,50.8850806451613,30.6012429378531,-51.0582991803278,141.970634920635,146.472084367246,92.3509925558313,44.703869047619,-19.3760080645162,-230.202419354839
"22","25",45.140625,33.2339682539683,-0.620312500000011,-2.0859375,-2.61841269841267,-19.504375,63.0734126984127,46.8184946236559,7.90387096774191,9.140625,8.40349206349208,7.82968750000009
"23","26",50.2263157894737,42.5142857142857,79.2875,24.0488524590164,11.0485472154964,36.5233333333333,49.5448717948718,77.1213836477987,58.3925925925926,23.3938461538461,-6.84676870748302,-61.7712307692308
"24","28",26.4086693548387,36.186987704918,50.660685483871,19.3868055555556,23.0575956284153,18.7131048387097,31.9960317460317,33.2324731182796,33.550496031746,10.5640625,4.48793650793652,-21.653125
"25","29",44.8533333333334,24.2880952380952,-13.4745355191258,29.0380645161291,2.91715846994538,-8.2315053763441,50.5770491803279,43.9969047619048,41.6483333333333,8.45831381733018,2.44738095238097,47.5490632318501
"26","30",46.4510110294117,13.8150793650793,-55.5143849206349,2.67787698412701,4.7136507936508,16.4501587301587,87.5050403225806,76.8997983870968,197.005053763441,-0.664516129032279,-50.5899453551913,-218.240881147541
"27","31",56.6967261904762,62.3447311827957,46.055238095238,20.816935483871,0.0731147540983557,-41.7657258064516,52.3676587301588,60.0729032258064,5.75999999999999,11.4114087301588,-12.4333333333333,-146.004637096774
"28","32",60.0983333333333,28.6116666666667,29.4675,-9.91396825396828,-52.8318279569892,-48.4261290322581,26.06875,22.5088888888889,11.0388888888889,-89.0457661290322,-120.418951612903,-169.009677419355
"29","33",62.6063276836159,31.3076354679803,62.6177966101695,-6.51041162227602,-33.3929708222812,-101.335467980296,83.82,81.9868480725624,31.2560090702948,-0.820355731225277,-26.5061264822134,-40.940909090909
"30","34",71.6230158730159,61.9200879765395,57.0794871794872,1.70181451612905,-4.54710382513662,-110.301092896175,84.766253101737,65.4459677419355,122.949007444169,15.8560215053764,9.86175115207374,-27.0130107526882
"31","35",15.0758064516129,-8.53836065573768,-17.2884153005464,-7.88579234972678,-40.3583333333333,-58.4377049180328,24.567311827957,7.98120218579237,87.5774193548386,-32.6696428571429,-67.8963636363637,-152.092994505495
"32","36",42.1155208333333,35.32043715847,31.5311111111111,-10.1481971153846,-23.4444444444445,-21.3674603174604,41.7078125,43.2576112412178,31.895376344086,-27.2598924731183,-36.14,-53.3967213114754
